9	391383	52	11380	0
5	511413	98	8195	0
0	904869	9	60	1
36	247940	19	2880	2
1	4189865	316	110978	1
2	3667292	1050	1359	0
-1	2403984	230	8	1
0	1208370	382	15	1
52	74688	2	15526	2
8	2327468	213	19289	2
4	4838052	1686	28818	2
0	639285	286	1511	1
3	201034	27	806	0
1	234821	86	0	1
8	5079131	1670	0	2
106	312415	220	1	2
20	1020962	348	2760	2
6	897127	51	30315	1
46	3828515	1125	7012	0
0	5098160	480	16	1
1	678250	48	36721	1
72	3654436	1039	5776	2
2	1094940	62	22	1
5	901675	227	1764	1
0	652748	478	7371	1
9	361211	133	1438	1
22	823792	336	7	2
0	3649786	436	1319	1
0	1087361	27	1	1
0	2756111	223	17	1
0	982224	54	3	1
0	2745150	149	23	1
0	1065757	94	5	1
25	0	0		2
-22	434125	214	75	0
0	339592	65	395	1
1	405484	45	1479	1
10	531361	240	9684	0
38	4904262	1716	4697	2
0	169583	6	96339	0
0	316417	131	41	1
-9	4560713	355	275	1
0	5260245	794	2225	1
352	2709757	365	105	2
0	2170391	164	4	1
1026	40092	4	15610	2
9	90847	87	54	2
0	2491463	254	1482	1
0	528322	474	858	1
1	3632395	270	2067	1
10	385983	79	769	2
25	128876	21	1218	2
7	2399382	197	65	2
-3	250844	168	2	1
0	5237104	510	3	2
33	119699	24	10066	2
1	2035743	102	42457	1
5	111073	1	111073	1
0	58005	29	0	1
12	1588572	332	9	0
57	653003	27	1977	2
13	140256	13	3215	1
68	588192	166	2833	2
-58	130628	80	1494	2
85	80871	180	283	2
-1	2741449	92	240105	0
0	5684619	1857	15	1
0	1268829	488	1	1
0	1065793	161	9083	1
-1	4913485	714	1	1
0	136363	16	2	0
0	36541	44	4293	1
1	134877	5	9816	2
0	694726	146	4	1
29	191172	117	21	0
3	2370982	560	20	1
98	3274133	37	1133	2
3	496779	21	7	1
6	2772333	877	8	2
0	4549678	340	5	1
0	2971430	13	1024460	1
0	1707900	85	0	2
1	11372	12	12	1
19	236751	90	2983	2
-92	1573974	276	94	0
0	636627	127	1475	1
-1	3724798	899	14761	1
2	2787749	370	75	2
279	1163743	289	5115	2
26	329593	97	14	2
8	948986	137	83	0
-1	154067	38	489	1
24	0	0		2
7	3303103	550	3	1
124	334919	41	11089	2
241	256002	13	16226	2
0	20596	32	1362	1
13	1489142	544	20200	1
-1	950042	75	33370	1
2	1034288	200	10292	0
0	36547	45	5	1
31	1317898	302	225	2
-3	2206142	182	0	2
15	1248506	204	49	2
0	2729790	772	919	2
32	745	14	60	2
0	437701	183	2	1
3	2100969	236	542	1
80	1077917	399	926	2
3	914500	25	129	1
0	551370	304	9	1
0	2739210	259	513	2
-1	380766	158	198	1
0	3195029	211	107	0
0	1460393	619	5364	1
0	586321	47	37510	1
1082	2753433	231	2825	2
0	343986	207	1010	1
-5	2149362	257	15	2
12	1706591	620	1254	0
2	282782	62	9	1
47	19857	109	0	2
13	176501	4	23860	1
7129	7	1	7	2
2	1395772	85	360	0
0	5259498	539	1	1
-1	1614024	12	2	1
18	170610	64	438	1
0	1643567	194	3	0
0	4679242	312	14066	1
185	442311	15	169758	2
-14	2787437	358	489	0
9	252084	33	118	2
-71	2435	7	62	0
0	4938780	27	3	1
0	4167300	55	18	2
0	500941	99	4096	1
-3	2863454	818	4848	0
-58	164045	5	1722	0
0	1387454	320	0	1
15	1310952	278	62	0
8	39463	39	613	2
0	2625540	233	28	1
0	2463573	105	575925	1
1	3860653	645	1120	2
697	0	0		0
4	395703	46	56	2
-2	1424599	289	183	0
4	1577127	281	8	2
0	381443	57	20	1
2	1755422	449	1304	1
-5	396031	21	33109	0
-22	1674737	239	2	1
0	21682	2	21296	1
2	555271	92	4	1
24	375867	141	2360	2
0	6130322	2114	13137	1
-2	2727371	741	661	1
0	470393	2	38280	1
22	317150	197	3196	0
0	1212804	348	15	1
9	2432056	1109	26431	2
4	3528255	585	1792	1
8	123909	9	70755	0
169	843869	34	43086	2
0	2476435	188	88	1
0	6044347	891	1	1
0	1710839	298	18344	1
-11	3753825	196	1	1
0	5237097	507	1	1
6	1392502	693	812	2
3	11522	5	4288	2
0	2827849	348	0	2
51	2499731	756	12	2
0	2085311	127	98932	1
52	4623770	54	34654	2
1	242823	3	2	1
127	267361	33	21	2
1137	1328090	325	312	2
80	2430774	425	0	2
0	5391139	1607	49025	1
43	3306635	386	3835	2
92	4166874	1022	7751	2
0	321376	103	183	1
-9	404527	346	1022	0
7	543278	485	3257	2
7	63346	5	18834	0
85	542763	274	157	2
8	1092659	32	955	0
8	4708636	1202	113	2
71	414973	278	1755	2
0	2667638	331	714	1
2	352671	66	4126	2
1	4670346	625	45	1
3	838090	141	2686	2
0	849742	184	6	0
-2	364303	124	593	2
63	0	0		0
-1	85538	145	176	1
104	580749	433	515	2
-115	201847	26	8550	0
0	1226641	166	4	1
261	473606	170	15593	2
0	3577924	1009	838	1
-2	29709	85	2	0
-7	5448440	1828	9988	1
5	969347	226	296	1
13	57610	162	21	2
0	135514	11	4223	1
62	14765	17	1074	2
0	34708	13	1	0
-9	5096127	1756	4808	1
7	691226	53	85333	1
23	607334	16	7132	2
0	2483686	221	558	1
139	423911	62	241	2
30	1266972	74	50411	1
0	2757912	280	77	1
4	730645	125	41	2
0	549658	169	55	1
-2	556095	337	12	0
4	2139776	128	54465	1
6	312410	217	21	1
-14	6689433	977	116923	2
10	0	0		2
253	499517	44	188623	2
20	1730288	445	123	2
7	2583954	73	7	1
-5	277929	137	132	1
2	827600	141	4396	1
0	319706	142	2	0
33	778334	19	78052	1
3	552213	90	6138	2
0	757453	42	169657	1
17	534666	343	170	0
0	2606	21	12	1
